d3mIndex,user_id,item_id,rating
0,37916,34,-2.031
1,37704,66,0.656
2,2998,140,0.781
3,42567,119,7.75
4,62771,148,6.625
5,8662,17,-0.344
6,58193,84,-1.375
7,41281,17,-3.844
8,35180,15,-6.875
9,49085,35,6.75
10,17639,106,9.844
11,55665,128,2.781
12,4651,69,-6.719
13,28264,35,6.906
14,33278,19,-2.125
15,44325,19,-9.688
16,5897,62,8.812
17,16238,32,-1
18,63171,134,2.875
19,40583,7,-1.406
20,7609,112,6.969
21,38668,16,3.688
22,54895,8,8.656
23,5312,119,3.719
24,4181,16,0.25
25,6168,112,6.938
26,5275,13,-3.031
27,36954,137,6.062
28,41928,44,-6.531
29,41652,137,5.562
30,55376,78,6.75
31,32917,126,3.656
32,62405,122,1.375
33,38350,109,4.219
34,55027,16,-9.75
35,51469,32,-0.906
36,46432,142,-5
37,51136,54,-2.875
38,4291,122,2.812
39,29297,18,-1.75
40,62182,102,5.562
41,61651,30,2.656
42,34497,38,-0.625
43,47190,25,7.281
44,17596,123,3.375
45,39646,127,5.625
46,15823,132,-0.281
47,52830,19,1.125
48,56810,144,6.281
49,56003,84,-7.781
50,35955,17,3.531
51,17261,54,7.531
52,51558,53,5.219
53,61936,17,5.844
54,50255,17,3.594
55,33347,41,-4.5
56,21025,107,10
57,35406,122,1.844
58,59122,137,3.281
59,39463,143,-5.719
60,6802,38,-4.938
61,37030,35,9.812
62,52448,88,6.969
63,27380,19,-4.156
64,50129,126,-0.219
65,36494,107,-0.031
66,62038,32,4.562
67,17463,49,0.656
